"Proje","Klasor","Config exp/run","Data root","Cihaz","Epoch cfg/hist/final","Batch","Workers","Aug","Optimizer","LR","Scheduler","Label smoothing","Sampler","Resume","Best val mAP","Best val mAP epoch","Best val VAD err","Best val VAD epoch","Test precision","Test recall","Test F1","Test mAP","Test VAD err","Sure (dk)","En iyi AP sinifi","En iyi AP","En dusuk AP sinifi","En dusuk AP"
"peri_v1","opt_v2","peri_optimized / opt_v2","C:\Users\Gokhan\Desktop\PERI\emotic","cuda","5 / 5 / 5","32","0","true","adamw","0.0001","onecycle","0.1","-","hayir","0.38961355956359023","5","0.7685046990712484","2","0.8202874284916981","0.18293555714596882","0.29915530225931203","0.2728582145818614","0.9404133558273315","121.9694780533333","Engagement","0.8599077001887749","Embarrassment","0.030029564152068304"
"peri_v1","opt_v2_pas","peri_optimized / opt_v2_pas","C:\Users\Gokhan\Desktop\PERI\emotic","cuda","5 / 5 / 5","32","4","false","adamw","0.0001","onecycle","0.1","-","hayir","0.3837151625797782","4","0.7866822878519694","3","0.8103497706422018","0.1759031645766562","0.28905990335694015","0.2628151433136495","0.9570344885190328","15.630627235","Engagement","0.8394793809261086","Embarrassment","0.026490853881601256"
"peri_v1","opt_v3_pas_strict","peri_optimized / opt_v3_pas_strict","C:\Users\Gokhan\Desktop\PERI\emotic","cuda","10 / 10 / 10","32","4","false","adamw","0.0001","onecycle","0.0","-","hayir","0.3841268530606656","4","0.7805775801340739","3","0.7927667766776678","0.17938824408003237","0.2925727625669263","0.25545708739036493","0.9423219958941141","27.847960965","Engagement","0.8488449680971109","Embarrassment","0.027330233302379704"
"peri_v1","run_final_map35","peri / peri_balanced_finetune","C:\Users\Gokhan\Desktop\PERI\emotic","cpu","10 / 16 / 3","16","0","true","adamw","0.00001","none","null","weighted","evet","0.3703701600146249","3","0.8269752860069275","3","0.8138992537313433","0.16289635000155583","0.27146153646711085","0.25718418703171375","0.9859054485956827","0.00000016833315991486112","Engagement","0.8486345696954439","Embarrassment","0.02552269390136591"
"peri_v2","turbo_r50_e4","peri_v2 / turbo_r50_e4","C:\Users\Gokhan\Desktop\PERI_Hazır\emotic","cuda","4 / 4 / 4","32","0","null","adamw","0.0002","cosine","null","-","hayir","0.38368700361529035","4","0.899022122224172","4","0.8131787496331083","0.17241808507328002","0.28451130908063976","0.25887302361642545","1.0450814167658489","95.27507806500011","Engagement","0.8506649921623086","Embarrassment","0.024856878619745375"
